CLAVEAGRP|DIVISION|GRUPO|CLASE|SUBCLASE|ARTICULO|DESCRIPCION
115201|100000|110000|115000|115200|115201|Queso crema|
115202|100000|110000|115000|115200|115202|Queso de máquina|
115203|100000|110000|115000|115200|115203|Queso doble crema - cuartirolo|
115204|100000|110000|115000|115200|115204|Queso fontina - gouda - chubut - edan - fymbo|
115205|100000|110000|115000|115200|115205|Queso fundido|
115206|100000|110000|115000|115200|115206|Queso paté-gras - mar del plata|
115207|100000|110000|115000|115200|115207|Queso port salut|
115208|100000|110000|115000|115200|115208|Queso para rallar|
115209|100000|110000|115000|115200|115209|Queso rallado|
115210|100000|110000|115000|115200|115210|Muzzarella|
115211|100000|110000|115000|115200|115211|Otros quesos|
115212|100000|110000|115000|115200|115212|Surtidos de quesos|
115300|100000|110000|115000|115300||Manteca, yogur y otros productos lácteos|
115301|100000|110000|115000|115300|115301|Manteca|
115302|100000|110000|115000|115300|115302|Yogur natural o saborizado|
115303|100000|110000|115000|115300|115303|Yogur con aditamentos|
115304|100000|110000|115000|115300|115304|Leche cultivada, fermentada|
115305|100000|110000|115000|115300|115305|Ricota|
115306|100000|110000|115000|115300|115306|Crema de leche|
115307|100000|110000|115000|115300|115307|Dulce de leche|
115308|100000|110000|115000|115300|115308|Postres lácteos|
115309|100000|110000|115000|115300|115309|Surtidos de productos lácteos|
115400|100000|110000|115000|115400||Huevos|
115401|100000|110000|115000|115400|115401|Huevos de gallina|
115402|100000|110000|115000|115400|115402|Otros huevos|
116000|100000|110000|116000|||Frutas|
116100|100000|110000|116000|116100||Frutas frescas o congeladas|
116101|100000|110000|116000|116100|116101|Ananá|
116102|100000|110000|116000|116100|116102|Banana|
116103|100000|110000|116000|116100|116103|Cerezas, guindas frescas|
116104|100000|110000|116000|116100|116104|Ciruela|
116105|100000|110000|116000|116100|116105|Damasco|
116106|100000|110000|116000|116100|116106|Durazno|
116107|100000|110000|116000|116100|116107|Frutillas frescas|
116108|100000|110000|116000|116100|116108|Kiwi fresco|
116109|100000|110000|116000|116100|116109|Limón|
116110|100000|110000|116000|116100|116110|Mandarina|
116111|100000|110000|116000|116100|116111|Manzana|
116112|100000|110000|116000|116100|116112|Melón fresco|
116113|100000|110000|116000|116100|116113|Naranja|
116114|100000|110000|116000|116100|116114|Palta fresca|
116115|100000|110000|116000|116100|116115|Pelón fresco|
116116|100000|110000|116000|116100|116116|Pera|
116117|100000|110000|116000|116100|116117|Pomelo fresco|
116118|100000|110000|116000|116100|116118|Sandia fresca|
116119|100000|110000|116000|116100|116119|Uva fresca|
116120|100000|110000|116000|116100|116120|Otras frutas frescas|
116121|100000|110000|116000|116100|116121|Frutas congeladas|
116122|100000|110000|116000|116100|116122|Surtidos de frutas frescas o congeladas|
116200|100000|110000|116000|116200||Frutas procesadas, secas o en conserva|
116201|100000|110000|116000|116200|116201|Aceitunas|
116202|100000|110000|116000|116200|116202|Ananá en almíbar o en conserva|
116203|100000|110000|116000|116200|116203|Duraznos en almíbar o en conserva|
116204|100000|110000|116000|116200|116204|Ensalada de frutas en almíbar o conserva|
116205|100000|110000|116000|116200|116205|Otras frutas en conserva|
116206|100000|110000|116000|116200|116206|Frutas secas|
116207|100000|110000|116000|116200|116207|Ciruelas desecadas|
116208|100000|110000|116000|116200|116208|Pasas de uva|
116209|100000|110000|116000|116200|116209|Otras frutas desecadas|
116210|100000|110000|116000|116200|116210|Surtidos de frutas procesadas, secas o en conserva|
117000|100000|110000|117000|||Verduras, tubérculos y legumbres|
117100|100000|110000|117000|117100||Verduras, tubérculos y legumbres frescos o congelados|
117101|100000|110000|117000|117100|117101|Acelga fresca|
117102|100000|110000|117000|117100|117102|Ají fresco|
117103|100000|110000|117000|117100|117103|Ajo|
117104|100000|110000|117000|117100|117104|Albahaca, perejil fresco|
117105|100000|110000|117000|117100|117105|Alcauciles|
117106|100000|110000|117000|117100|117106|Apio, hinojo fresco|
117107|100000|110000|117000|117100|117107|Arvejas frescas|
117108|100000|110000|117000|117100|117108|Batata fresca|
117109|100000|110000|117000|117100|117109|Berenjenas frescas|
117110|100000|110000|117000|117100|117110|Cebolla común fresca|
117111|100000|110000|117000|117100|117111|Cebolla de verdeo, puerro fresco|
117112|100000|110000|117000|117100|117112|Coliflor, brócoli fresco|
117113|100000|110000|117000|117100|117113|Chauchas frescas|
117114|100000|110000|117000|117100|117114|Choclo fresco|
117115|100000|110000|117000|117100|117115|Espinaca fresca|
117116|100000|110000|117000|117100|117116|Hongos|
117117|100000|110000|117000|117100|117117|Lechuga fresca|
117118|100000|110000|117000|117100|117118|Mandioca fresca|
117119|100000|110000|117000|117100|117119|Papa fresca|
117120|100000|110000|117000|117100|117120|Pepino fresco|
117121|100000|110000|117000|117100|117121|Rabanitos|
117122|100000|110000|117000|117100|117122|Radicheta, radicha, rúcula fresca|
117123|100000|110000|117000|117100|117123|Remolacha fresca|
117124|100000|110000|117000|117100|117124|Repollo fresco|
117125|100000|110000|117000|117100|117125|Tomate perita fresco|
117126|100000|110000|117000|117100|117126|Tomate redondo fresco|
117127|100000|110000|117000|117100|117127|Verdurita, jardinera, ensaladas varias frescas|
117128|100000|110000|117000|117100|117128|Zanahoria fresca|
117129|100000|110000|117000|117100|117129|Zapallitos frescos|
117130|100000|110000|117000|117100|117130|Zapallo fresco|
117131|100000|110000|117000|117100|117131|Otras verduras y tubérculos frescos|
117132|100000|110000|117000|117100|117132|Otras legumbres frescas|
117133|100000|110000|117000|117100|117133|Verduras congeladas|
117134|100000|110000|117000|117100|117134|Papas y otros tubérculos congelados|
117135|100000|110000|117000|117100|117135|Legumbres congeladas|
117136|100000|110000|117000|117100|117136|Semipreparados frescos o congeladas en base a verduras|
117137|100000|110000|117000|117100|117137|Surtidos de verduras, tubérculos y legumbres frescas o congeladas|
117200|100000|110000|117000|117200||Verduras, tubérculos y legumbres secos o en conserva y derivados|
117201|100000|110000|117000|117200|117201|Arvejas secas|
117202|100000|110000|117000|117200|117202|Lentejas secas|
117203|100000|110000|117000|117200|117203|Porotos secos|
117204|100000|110000|117000|117200|117204|Otras legumbres secas|
117205|100000|110000|117000|117200|117205|Arvejas en conserva|
117206|100000|110000|117000|117200|117206|Choclo en conserva|
117207|100000|110000|117000|117200|117207|Lentejas en conserva|
117208|100000|110000|117000|117200|117208|Porotos en conserva|
117209|100000|110000|117000|117200|117209|Otras legumbres en conserva|
117210|100000|110000|117000|117200|117210|Tomates en conserva|
117211|100000|110000|117000|117200|117211|Verduras en conserva|
117212|100000|110000|117000|117200|117212|Polvos para puré de papa deshidratados|
117213|100000|110000|117000|117200|117213|Polvos para purés zapallo deshidratados, etc..|
117214|100000|110000|117000|117200|117214|Otras verduras deshidratadas|
117215|100000|110000|117000|117200|117215|Surtidos de verduras, tubérculos y legumbres secas o en conservas y derivadas|
118000|100000|110000|118000|||Azúcar, dulces, chocolate, golosinas, etc.|
118100|100000|110000|118000|118100||Azúcar y edulcorantes|
118101|100000|110000|118000|118100|118101|Azúcar|
118102|100000|110000|118000|118100|118102|Edulcorante|
118200|100000|110000|118000|118200||Dulces, mermeladas y miel|
118201|100000|110000|118000|118200|118201|Dulce de batata|
118202|100000|110000|118000|118200|118202|Dulce de membrillo|
118203|100000|110000|118000|118200|118203|Mermeladas, otros dulces y jaleas|
118204|100000|110000|118000|118200|118204|Miel y similares|
118205|100000|110000|118000|118200|118205|Surtidos de dulces, mermeladas y miel|
118300|100000|110000|118000|118300||Helados|
118301|100000|110000|118000|118300|118301|Helado individual|
118302|100000|110000|118000|118300|118302|Helado envasado por kilo o litro|
118303|100000|110000|118000|118300|118303|Helado suelto|
118400|100000|110000|118000|118400||Chocolates y otros dulces (golosinas)|
118401|100000|110000|118000|118400|118401|Alfajores|
118402|100000|110000|118000|118400|118402|Barra de cereales|
118403|100000|110000|118000|118400|118403|Bombones y bocaditos de chocolate|
118404|100000|110000|118000|118400|118404|Caramelos o confites|
118405|100000|110000|118000|118400|118405|Chicles|
118406|100000|110000|118000|118400|118406|Chocolate para taza/repostería|
118407|100000|110000|118000|118400|118407|Chocolates y chocolatines|
118408|100000|110000|118000|118400|118408|Chupetines|
118409|100000|110000|118000|118400|118409|Obleas cubiertas con chocolate o con confituras|
118410|100000|110000|118000|118400|118410|Pastillas en paquete|
118411|100000|110000|118000|118400|118411|Turrón|
118412|100000|110000|118000|118400|118412|Otras golosinas y confituras|
118413|100000|110000|118000|118400|118413|Otros preparados de chocolate|
118414|100000|110000|118000|118400|118414|Surtidos de chocolates y otros dulces|
119000|100000|110000|119000|||Otros Alimentos|
119100|100000|110000|119000|119100||Sal y especias|
119101|100000|110000|119000|119100|119101|Sal fina|
119102|100000|110000|119000|119100|119102|Sal gruesa|
119103|100000|110000|119000|119100|119103|Ají molido|
119104|100000|110000|119000|119100|119104|Comino|
119105|100000|110000|119000|119100|119105|Orégano|
119106|100000|110000|119000|119100|119106|Pimentón|
119107|100000|110000|119000|119100|119107|Pimienta|
119108|100000|110000|119000|119100|119108|Otras especias|
119109|100000|110000|119000|119100|119109|Surtidos de sal y especias|
119200|100000|110000|119000|119200||Salsas y Condimentos|
119201|100000|110000|119000|119200|119201|Ketchup|
119202|100000|110000|119000|119200|119202|Mayonesa|
119203|100000|110000|119000|119200|119203|Mostaza|
119204|100000|110000|119000|119200|119204|Salsa en base a tomate|
119205|100000|110000|119000|119200|119205|Salsas varias|
119206|100000|110000|119000|119200|119206|Vinagre, aceto balsámico|
119207|100000|110000|119000|119200|119207|Otros aderezos y condimentos|
119208|100000|110000|119000|119200|119208|Surtidos de salsas y condimentos|
119300|100000|110000|119000|119300||Sopas, preparaciones para postres y levadura|
119301|100000|110000|119000|119300|119301|Alimentos preparados para niños y bebés|
119302|100000|110000|119000|119300|119302|Caldos concentrados|
119303|100000|110000|119000|119300|119303|Chizitos, papas fritas, palitos (snacks)|
119304|100000|110000|119000|119300|119304|Levadura|
119305|100000|110000|119000|119300|119305|Polvo para hornear|
119306|100000|110000|119000|119300|119306|Polvos para bizcochuelo, tortas, scones|
119307|100000|110000|119000|119300|119307|Polvos para postres y helados|
119308|100000|110000|119000|119300|119308|Productos para repostería|
119309|100000|110000|119000|119300|119309|Sopas concentradas|
119310|100000|110000|119000|119300|119310|Surtidos de sopas, preparaciones para postres y levadura|
119400|100000|110000|119000|119400||Comidas listas para consumir|
119401|100000|110000|119000|119400|119401|Carne vacuna asada/spiedo|
119402|100000|110000|119000|119400|119402|Pollo asado/spiedo|
119403|100000|110000|119000|119400|119403|Empanadas y tartas|
119404|100000|110000|119000|119400|119404|Ensaladas varias|
119405|100000|110000|119000|119400|119405|Milanesa de carne, suprema|
119406|100000|110000|119000|119400|119406|Pizza- fainá- fugazza|
119407|100000|110000|119000|119400|119407|Postres|
119408|100000|110000|119000|119400|119408|Sandwiches de miga (simple, triple)|
119409|100000|110000|119000|119400|119409|Otro tipo de sandwiches (lomitos, hamburguesas, milanesas, panchos, jamón y queso, etc.)|
119410|100000|110000|119000|119400|119410|Comidas en base a carnes|
119411|100000|110000|119000|119400|119411|Comidas en base a pastas|
119412|100000|110000|119000|119400|119412|Comidas en base a pescado|
119413|100000|110000|119000|119400|119413|Comidas en base a verduras y tubérculos|
119414|100000|110000|119000|119400|119414|Otras comidas listas para consumir|
119500|100000|110000|119000|119500||Gastos no discriminados en alimentos|
119501|100000|110000|119000|119500|119501|Gastos en alimentos|
120000|100000|120000||||BEBIDAS PARA CONSUMIR EN EL HOGAR|
121000|100000|120000|121000|||Bebidas no alcohólicas|
121100|100000|120000|121000|121100||Café, te, yerba y cacao|
121101|100000|120000|121000|121100|121101|Café instantáneo|
121102|100000|120000|121000|121100|121102|Café molido o en grano|
121103|100000|120000|121000|121100|121103|Café en saquitos|
121104|100000|120000|121000|121100|121104|Capuchino instantáneo|
121105|100000|120000|121000|121100|121105|Capuchino en saquitos|
121106|100000|120000|121000|121100|121106|Malta instantánea|
121107|100000|120000|121000|121100|121107|Té común en hebras, en hoja|
121108|100000|120000|121000|121100|121108|Té común en saquitos|
121109|100000|120000|121000|121100|121109|Yerba mate|
121110|100000|120000|121000|121100|121110|Mate cocido en saquitos|
121111|100000|120000|121000|121100|121111|Cacao azucarado o no|
121112|100000|120000|121000|121100|121112|Otras infusiones|
121113|100000|120000|121000|121100|121113|Infusiones preparadas listas para consumir|
121114|100000|120000|121000|121100|121114|Surtidos de café, te, yerba y cacao|
121200|100000|120000|121000|121200||Aguas minerales, bebidas gaseosas y jugos|
121201|100000|120000|121000|121200|121201|Agua mineral|
121202|100000|120000|121000|121200|121202|Agua potable|
121203|100000|120000|121000|121200|121203|Aperitivo sin alcohol|
121204|100000|120000|121000|121200|121204|Gaseosas|
121205|100000|120000|121000|121200|121205|Hielo|
121206|100000|120000|121000|121200|121206|Jugos y refrescos en polvo para preparar bebidas|
121207|100000|120000|121000|121200|121207|Jugos y refrescos líquidos para preparar bebidas|
121208|100000|120000|121000|121200|121208|Jugos y refrescos para beber sin diluir|
121209|100000|120000|121000|121200|121209|Leche de soja, jugos a base de soja|
121210|100000|120000|121000|121200|121210|Soda|
121211|100000|120000|121000|121200|121211|Surtidos de agua mineral, bebidas gaseosas y jugos|
122000|100000|120000|122000|||Bebidas alcohólicas|
122100|100000|120000|122000|122100||Bebidas destiladas|
122101|100000|120000|122000|122100|122101|Aperitivos|
122102|100000|120000|122000|122100|122102|Ginebra, caña, grapa|
122103|100000|120000|122000|122100|122103|Whisky|
122104|100000|120000|122000|122100|122104|Otras bebidas destiladas|
122105|100000|120000|122000|122100|122105|Surtidos de bebidas destiladas|
122200|100000|120000|122000|122200||Vinos|
122201|100000|120000|122000|122200|122201|Vino común|
122202|100000|120000|122000|122200|122202|Vino fino|
122203|100000|120000|122000|122200|122203|Vinos dulces|
122204|100000|120000|122000|122200|122204|Vinos espumantes|
122205|100000|120000|122000|122200|122205|Otros vinos espumantes|
122206|100000|120000|122000|122200|122206|Surtido de vinos|
122300|100000|120000|122000|122300||Cerveza|
122301|100000|120000|122000|122300|122301|Cerveza|
122400|100000|120000|122000|122400||Otras bebidas alcohólicas|
122401|100000|120000|122000|122400|122401|Licores|
122402|100000|120000|122000|122400|122402|Sidra|
122403|100000|120000|122000|122400|122403|Surtido de otras bebidas alcohólicas|
122500|100000|120000|122000|122500||Gastos no discriminados en bebidas|
122501|100000|120000|122000|122500|122501|Gastos en bebidas|
130000|100000|130000||||ALIMENTOS Y BEBIDAS COMPRADOS Y CONSUMIDOS EN RESTAURANTES, BAR Y COMEDORES|
131000|100000|130000|131000|||Alimentos y bebidas comprados y consumidos en restaurantes, bar y comedores escolares, universitarios o fabriles|
131100|100000|130000|131000|131100||Alimentos y bebidas comprados y consumidos en restaurantes, bar|
131101|100000|130000|131000|131100|131101|Almuerzo|
131102|100000|130000|131000|131100|131102|Cena|
131103|100000|130000|131000|131100|131103|Desayuno|
131104|100000|130000|131000|131100|131104|Merienda|
131105|100000|130000|131000|131100|131105|Menú completo (Ejecutivo)|
131106|100000|130000|131000|131100|131106|Comidas rápidas|
131107|100000|130000|131000|131100|131107|Sandwiches (lomitos, hamburguesas, panchos, etc.) y bebidas|
131108|100000|130000|131000|131100|131108|Pizza y bebidas|
131109|100000|130000|131000|131100|131109|Postres|
131110|100000|130000|131000|131100|131110|Café, té, mate cocido solo|
131111|100000|130000|131000|131100|131111|Café, té, mate cocido con facturas o tostadas|
131112|100000|130000|131000|131100|131112|Agua mineral, soda|
131113|100000|130000|131000|131100|131113|Gaseosas|
131114|100000|130000|131000|131100|131114|Cerveza|
131115|100000|130000|131000|131100|131115|Vino|
131116|100000|130000|131000|131100|131116|Bebidas alcohólicas|
131117|100000|130000|131000|131100|131117|Otras bebidas|
131118|100000|130000|131000|131100|131118|Otras comidas con o sin bebidas listas para consumir|
131200|100000|130000|131000|131200||Alimentos y bebidas comprados y consumidos en comedores escolares, universitarios o fabriles|
131201|100000|130000|131000|131200|131201|Almuerzo o cena en comedores escolares, universitarios o fabriles|
131202|100000|130000|131000|131200|131202|Desayuno y merienda en comedores escolares, universitarios o fabriles|
131203|100000|130000|131000|131200|131203|Café, té, mate cocido en comedores escolares, universitarios o fabriles|
131204|100000|130000|131000|131200|131204|Gaseosas, jugos, agua mineral en comedores escolares, universitarios o fabriles|
131205|100000|130000|131000|131200|131205|Bebidas alcohólicas en comedores escolares, universitarios o fabriles|
131206|100000|130000|131000|131200|131206|Cuota mensual del comedor escolar|
200000|200000|||||INDUMENTARIA Y CALZADO|
210000|200000|210000||||INDUMENTARIA|
211000|200000|210000|211000|||Telas e hilados|
211100|200000|210000|211000|211100||Telas|
211101|200000|210000|211000|211100|211101|Telas de algodón con o sin mezcla|
