codigo_ocupacion;descripcion_ocupacion
11119;Cuenta propias in operación de maquinarias de la gestión jurídico-legal - Calificación ignorada
11121;Cuenta propia con operación demaquinarias y equipos electromecánicos de la gestión jurídico-legal - Calificaciónprofesional
11122;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión jurídico-legal- Calificación técnica
11123;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión jurídico-legal - Calificación operativa
11129;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión jurídico-legal - Calificación ignorada
11131;Cuenta propia con operación desistemasy/o equipos informatizados de la gestión jurídico-legal - Calificaciónprofesional
11132;Cuenta propia con operación de sistemasy/o equipos informatizados de la gestión jurídico-legal - Calificación técnica
11133;Cuenta propia con operación de sistemasy/o equipos informatizados de la gestión jurídico-legal - Calificación operativa
11139;Cuenta propia con operación de sistemasy/o equipos informatizados de la gestión jurídico-legal - Calificación ignorada
11201;Jefes de la gestión jurídico-legal - Calificación profesional
11202;Jefes de la gestión jurídico-legal- Calificación técnica
11203;Jefes de la gestión jurídico-legal- Calificación operativa
11209;Jefes de la gestión jurídico-legal- Calificación ignorada
11311;Trabajadores sin operación de maquinarias de la gestión jurídico-legal - Calificación profesional
11312;Trabajadores sin operación de maquinarias de la gestión jurídico-legal - Calificación técnica
11313;Trabajadores sin operación de maquinarias de la gestión jurídico-legal - Calificación operativa
11314;Trabajadores sin operación de maquinarias de la gestión jurídico-legal - No calificados
11319;Trabajadores sin operación de maquinarias de la gestión jurídico-legal - Calificación ignorada
11321;Operadores de maquinaria y/ equipos electromecánicos de las ocupaciones jurídico-legal- Calificación profesional
11322;Operadores de maquinaria y/ equipos electromecánicos de las ocupaciones jurídico-legal - Calificación técnica
11323;Operadores de maquinaria y/ equipos electromecánicos de las ocupaciones jurídico-legal - Calificación operativa
11324;Operadores de maquinaria y/ equipos electromecánicos de las ocupaciones jurídico-legal - No calificados
11329;Operadores de maquinaria y/ equipos electromecánicos de las ocupaciones jurídico-legal - Calificación ignorada
11331;Operadores de sistemas y/o equipos informatizados de las ocupaciones jurídico-legales - Calificación profesional
11332;Operadores de sistemas y/o equipos informatizados de las ocupaciones jurídico-legales- Calificación técnica
11333;Operadores de sistemas y/o equipos informatizados de las ocupaciones jurídico-legales- Calificación operativa
11334;Operadores de sistemas y/o equipos informatizados de las ocupaciones jurídico-legales- No calificados
11339;Operadores de sistemas y/o equipos informatizados de las ocupaciones jurídico-legales- Calificación ignorada
20111;Cuenta propia sin operación de maquinarias de la gestión presupuestaria, contable y financiera- Calificación profesional
20112;Cuenta propia sin operación de maquinarias de la gestión presupuestaria, contable y financiera- Calificación técnica
20113;Cuenta propia sin operación de maquinarias de la gestión presupuestaria, contable y financiera- Calificación operativa
20119;Cuenta propia sin operación de maquinarias de la gestión presupuestaria, contable y financiera- Calificación ignorada
20121;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión presupuestaria, contable y financiera- Calificación profesional
20122;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión presupuestaria, contable y financiera- Calificación técnica
20123;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión presupuestaria, contable y financiera- Calificación operativa
20129;Cuenta propia con operación de maquinarias y equipos electromecánicos de la gestión presupuestaria, contable y financiera- Calificación ignorada
20131;Cuenta propia con operación de sistemasy/o equipos informatizados de la gestión presupuestaria, contable y financiera- Calificación profesional
20132;Cuenta propia con operación de sistemasy/o equipos informatizados de la gestión presupuestaria, contable y financiera- Calificación técnica
20133;Cuenta propia con operación de sistemasy/o equipos informatizados de la gestión presupuestaria, contable y financiera- Calificación operativa
20139;Cuenta propia con operación de sistemasy/o equipos informatizados de la gestión presupuestaria, contable y financiera- Calificación ignorada
20201;Jefes de gestión presupuestaria, contable y financiera- Calificación profesional
20202;Jefes de gestión presupuestaria, contable y financiera - Calificación técnica
20203;Jefes de gestión presupuestaria, contable y financiera - Calificación operativa
20209;Jefes de gestión presupuestaria, contable y financiera - Calificación ignorada
20311;Trabajadores sin operación de maquinarias de la gestión presupuestaria, contable y financiera - Calificación profesional
20312;Trabajadores sin operación de maquinarias de la gestión presupuestaria, contable y financiera- Calificación técnica
20313;Trabajadores sin operación de maquinarias de la gestión presupuestaria, contable y financiera- Calificación operativa
20314;Trabajadores sin operación de maquinarias de la gestión presupuestaria, contable y financiera- No calificados
20319;Trabajadores sin operación de maquinarias de la gestión presupuestaria, contable y financiera- Calificación ignorada
20321;Operadores de maquinaria y/o equipos electromecánicos de la gestión presupuestaria, contable y financiera- Calificación profesional
20322;Operadores de maquinaria y/o equipos electromecánicos de la gestión presupuestaria, contable y financiera- Calificación técnica
20323;Operadores de maquinaria y/o equipos electromecánicos de la gestión presupuestaria, contable y financiera- Calificación operativa
20324;Operadores de maquinaria y/o equipos electromecánicos de la gestión presupuestaria, contable y financiera- No calificados
20329;Operadores de maquinaria y/o equipos electromecánicos de la gestión presupuestaria, contable y financiera- Calificación ignorada
20331;Operadores de sistemas y/o equipos informatizados de la gestión presupuestaria,contable y financiera- Calificación profesional
20332;Operadores de sistemas y/o equipos informatizados de la gestión presupuestaria, contable y financiera- Calificación técnica
20333;Operadores de sistemas y/o equipos informatizados de la gestión presupuestaria, contable y financiera- Calificación operativa
20334;Operadores de sistemas y/o equipos informatizados de la gestión presupuestaria, contable y financiera- No calificados
20339;Operadores de sistemas y/o equipos informatizados de la gestión presupuestaria, contable y financiera- Calificación ignorada
30111;Cuenta propia sin operación de maquinarias de la comercialización directa (tradicional y telefónicos)- Calificación profesional
30112;Cuenta propia sin operación de maquinarias de la comercialización directa (tradicional y telefónicos)- Calificación técnica
30113;Cuenta propia sin operación de maquinarias de la comercialización directa (tradicional y telefónicos)- Calificación operativa
30119;Cuenta propia sin operación de maquinarias de la comercialización directa (tradicional y telefónicos)- Calificación ignorada
30121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos)- Calificación profesional
30122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos)- Calificación técnica
30123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos)- Calificación operativa
30129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos)- Calificación ignorada
30131;Cuenta propia con operación de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos)- Calificación profesional
30132;Cuenta propia con operación de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos)-Calificación técnica
30133;Cuenta propia con operación de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos)-Calificación operativa
30139;Cuenta propia con operación de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos)-Calificación ignorada
30201;Jefes de la comercialización directa (tradicional y telefónicos)- Calificación profesional
30202;Jefes de la comercialización directa (tradicional y telefónicos)- Calificación técnica
30203;Jefes de la comercialización directa (tradicional y telefónicos)- Calificación operativa
30209;Jefes de la comercialización directa (tradicional y telefónicos)- Calificación ignorada
30311;Vendedores y trabajadores sin operación de maquinarias de la comercialización directa (tradicional y telefónicos)- Calificación profesional
30312;Vendedores y trabajadores sin operación de maquinarias de la comercialización directa (tradicional y telefónicos)- Calificación técnica
30313;Vendedores y trabajadores sin operación de maquinarias de la comercialización directa (tradicional y telefónicos)- Calificación operativa
30314;Vendedores y trabajadores sin operación de maquinarias de la comercialización directa (tradicional y telefónicos) - No calificados
30319;Vendedores y trabajadores sin operación de maquinarias de la comercialización directa (tradicional y telefónicos) - Calificación ignorada
30321;Operadores de maquinaria y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos)- Calificación profesional
30322;Operadores de maquinaria y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos)- Calificación técnica
30323;Operadores de maquinaria y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos)- Calificación operativa
30324;Operadores de maquinaria y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos) - No calificados
30329;Operadores de maquinaria y/o equipos electromecánicos de la comercialización directa (tradicional y telefónicos)- Calificación ignorada
30331;Operadores de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos) - Calificación profesional
30332;Operadores de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos) - Calificación técnica
30333;Operadores de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos) - Calificación operativa
30334;Operadores de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos) - No calificados
30339;Operadores de sistemas y/o equipos informatizados de la comercialización directa (tradicional y telefónicos) - Calificación ignorada
31111;Cuenta propia sin operación de maquinarias viajantes, corredores comerciales y vendedores domiciliarios y promotores- Calificación profesional
31112;Cuenta propia sin operación de maquinarias viajantes, corredores comerciales y vendedores domiciliarios y promotores- Calificación técnica
31113;Cuenta propia sin operación de maquinarias viajantes, corredores comerciales y vendedores domiciliarios y promotores- Calificación operativa
31119;Cuenta propia sin operación de maquinarias viajantes, corredores comerciales y vendedores domiciliarios y promotores- Calificación ignorada
31121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos viajantes, corredores comerciales y vendedores domiciliarios - Calificación profesional
31122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos viajantes, corredores comerciales y vendedores domiciliarios - Calificación técnica
31123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos viajantes, corredores comerciales y vendedores domiciliarios - Calificación operativa
31129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos viajantes, corredores comerciales y vendedores domiciliarios - Calificación ignorada
31131;Cuenta propia viajantes con operación de sistemas y/o equipos informatizados, corredores comerciales y vendedores domiciliarios- Calificación profesional
31132;Cuenta propia viajantes con operación de sistemas y/o equipos informatizados, corredores comerciales y vendedores domiciliarios- Calificación técnica
31133;Cuenta propia viajantes con operación de sistemas y/o equipos informatizados, corredores comerciales y vendedores domiciliarios- Calificación operativa
31139;Cuenta propia viajantes con operación de sistemas y/o equipos informatizados, corredores comerciales y vendedores domiciliarios- Calificación ignorada
31201;Jefes de viajantes, corredores comerciales y vendedores domiciliarios- Calificación profesional
31202;Jefes de viajantes, corredores comerciales y vendedores domiciliarios- Calificación técnica
31203;Jefes de viajantes, corredores comerciales y vendedores domiciliarios- Calificación operativa
31209;Jefes de viajantes, corredores comerciales y vendedores domiciliarios- Calificación ignorada
31311;Trabajadores sin operación de maquinarias viajantes, corredores comerciales y vendedores domiciliarios- Calificación profesional
31312;Trabajadores sin operación de maquinarias viajantes, corredores comerciales y vendedores domiciliarios- Calificación técnica
31313;Trabajadores sin operación de maquinarias viajantes, corredores comerciales y vendedores domiciliarios- Calificación operativa
31314;Trabajadores sin operación de maquinarias viajantes, corredores comerciales y vendedores domiciliarios- No calificados
31319;Trabajadores sin operación de maquinarias viajantes, corredores comerciales y vendedores domiciliarios- Calificación ignorada
31321;Trabajadores con operación de maquinarias y/o equipos electromecánicos viajantes, corredores comerciales y vendedores domiciliarios- Calificación profesional
31322;Trabajadores con operación de maquinarias y/o equipos electromecánicos viajantes, corredores comerciales y vendedores domiciliarios- Calificación técnica
31323;Trabajadores con operación de maquinarias y/o equipos electromecánicos viajantes, corredores comerciales y vendedores domiciliarios- Calificación operativa
31329;Trabajadores con operación de maquinarias y/o equipos electromecánicos viajantes, corredores comerciales y vendedores domiciliarios- Calificación ignorada
31331;Trabajadores viajantes con operación de sistemas y/o equipos informatizados, corredores comerciales y vendedores domiciliarios- Calificación profesional
31332;Trabajadores viajantes con operación de sistemas y/o equipos informatizados, corredores comerciales y vendedores domiciliarios- Calificación técnica
31333;Trabajadores viajantes con operación de sistemas y/o equipos informatizados, corredores comerciales y vendedores domiciliarios- Calificación operativa
31339;Trabajadores viajantes con operación de sistemas y/o equipos informatizados, corredores comerciales y vendedores domiciliarios- Calificación ignorada
32111;Cuenta propia sin operación de maquinarias de otras ocupaciones de la comercialización indirecta- Calificación profesional
32112;Cuenta propia sin operación de maquinarias de otras ocupaciones de la comercialización indirecta- Calificación técnica
32113;Cuenta propia sin operación de maquinarias de otras ocupaciones de la comercialización indirecta- Calificación operativa
32119;Cuenta propia sin operación de maquinarias de otras ocupaciones de la comercialización indirecta- Calificación ignorada
32121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de la comercialización indirecta- Calificación profesional
32122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de la comercialización indirecta- Calificación técnica
32123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de la comercialización indirecta- Calificación operativa
32129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de la comercialización indirecta- Calificación ignorada
32131;Cuenta propia con operación de sistemas y/equipos informatizados de otras ocupaciones de la comercialización indirecta- Calificación profesional
32132;Cuenta propia con operación de sistemas y/equipos informatizados de otras ocupaciones de la comercialización indirecta- Calificación técnica
32133;Cuenta propia con operación de sistemas y/equipos informatizados de otras ocupaciones de la comercialización indirecta- Calificación operativa
32139;Cuenta propia con operación de sistemas y/equipos informatizados de otras ocupaciones de la comercialización indirecta- Calificación ignorada
32201;Jefes de otras ocupaciones de la comercialización- Calificación profesional
32202;Jefes de otras ocupaciones de la comercialización- Calificación técnica
32203;Jefes de otras ocupaciones de la comercialización- Calificación operativa
32209;Jefes de otras ocupaciones de la comercialización- Calificación ignorada
32311;Trabajadores sin operación de maquinarias de otras ocupaciones de la comercialización- Calificación profesional
32312;Trabajadores sin operación de maquinarias de otras ocupaciones de la comercialización- Calificación técnica
32313;Trabajadores sin operación de maquinarias de otras ocupaciones de la comercialización- Calificación operativa
32314;Trabajadores sin operación de maquinarias de otras ocupaciones de la comercialización- No calificados
32319;Trabajadores sin operación de maquinarias de otras ocupaciones de la comercialización- Calificación ignorada
32321;Trabajadores con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de la comercialización indirecta- Calificación profesional
32322;Trabajadores con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de la comercialización indirecta- Calificación técnica
32323;Trabajadores con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de la comercialización indirecta- Calificación operativa
32329;Trabajadores con operación de maquinarias y/o equipos electromecánicos de otras ocupaciones de la comercialización indirecta- Calificación ignorada
32331;Trabajadores con operación de sistemas y/o equipos informatizados de otras ocupaciones de la comercialización indirecta- Calificación profesional
32332;Trabajadores con operación de sistemas y/o equipos informatizados de otras ocupaciones de la comercialización indirecta- Calificación técnica
32333;Trabajadores con operación de sistemas y/o equipos informatizados de otras ocupaciones de la comercialización indirecta- Calificación operativa
32339;Trabajadores con operación de sistemas y/o equipos informatizados de otras ocupaciones de la comercialización indirecta- Calificación ignorada
33111;Cuenta propia sin operación de maquinarias vendedores ambulantes y callejeros- Calificación profesional
33112;Cuenta propia sin operación de maquinarias vendedores ambulantes y callejeros- Calificación técnica
33113;Cuenta propia sin operación de maquinarias vendedores ambulantes y callejeros- Calificación operativa
33114;Cuenta propia sin operación de maquinarias vendedores ambulantes y callejeros- No calificados
33119;Cuenta propia sin operación de maquinarias vendedores ambulantes y callejeros- Calificación ignorada
33121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos vendedores ambulantes y callejeros- Calificación profesional
33122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos vendedores ambulantes y callejeros- Calificación técnica
33123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos vendedores ambulantes y callejeros- Calificación operativa
33124;Cuenta propia con operación de maquinarias y/o equipos electromecánicos vendedores ambulantes y callejeros- No calificados
33129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos vendedores ambulantes y callejeros- Calificación ignorada
33131;Cuenta propia con operación de sistemas y/o equipos informatizados vendedores ambulantes y callejeros- Calificación profesional
33132;Cuenta propia con operación de sistemas y/o equipos informatizados vendedores ambulantes y callejeros- Calificación técnica
33133;Cuenta propia con operación de sistemas y/o equipos informatizados vendedores ambulantes y callejeros- Calificación operativa
33134;Cuenta propia con operación de sistemas y/o equipos informatizados vendedores ambulantes y callejeros- No calificados
33139;Cuenta propia con operación de sistemas y/o equipos informatizados vendedores ambulantes y callejeros- Calificación ignorada
33201;Jefes de los vendedores ambulantes y callejeros- Calificación profesional
33202;Jefes de los vendedores ambulantes y callejeros- Calificación técnica
33203;Jefes de los vendedores ambulantes y callejeros- Calificación operativa
33209;Jefes de los vendedores ambulantes y callejeros- Calificación ignorada
33311;Trabajadores sin operación de maquinarias vendedores ambulantes y callejeros- Calificación profesional
33312;Trabajadores sin operación de maquinarias vendedores ambulantes y callejeros- Calificación técnica
33313;Trabajadores sin operación de maquinarias vendedores ambulantes y callejeros- Calificación operativa
33314;Trabajadores sin operación de maquinarias vendedores ambulantes y callejeros - No calificados
33319;Trabajadores sin operación de maquinarias vendedores ambulantes y callejeros- Calificación ignorada
34111;Cuenta propia sin operación de maquinarias del Transporte- Calificación profesional
34113;Cuenta propia sin operación de maquinarias del Transporte- Calificación operativa
34114;Cuenta propia sin operación de maquinarias del Transporte- No calificados
34119;Cuenta propia sin operación de maquinarias del Transporte- Calificación ignorada
34121;Cuenta propia con operación de maquinaria y/o equipos electromecánicos del transporte- Calificación profesional
34123;Cuenta propia con operación de maquinaria y/o equipos electromecánicos del transporte- Calificación operativa
34124;Cuenta propia con operación de maquinaria y/o equipos electromecánicos del transporte - No calificados
34129;Cuenta propia con operación de maquinaria y/o equipos electromecánicos del transporte- Calificación ignorada
34131;Cuenta propia con operación de sistema y/o equipos informatizados del transporte- Calificación profesional
34133;Cuenta propia con operación de sistema y/o equipos informatizados del transporte- Calificación operativa
34134;Cuenta propia con operación de sistema y/o equipos informatizados del transporte- No calificados
34139;Cuenta propia con operación de sistema y/o equipos informatizados del transporte- Calificación ignorada
34201;Jefes de servicios de transporte- Calificación profesional
34202;Jefes de servicios de transporte- Calificación técnica
34203;Jefes de servicios de transporte- Calificación operativa
34209;Jefes de servicios de transporte- Calificación ignorada
34311;Trabajadores sin operación de maquinarias del transporte - Calificación profesional
34312;Trabajadores sin operación de maquinarias del transporte - Calificación técnica
34313;Trabajadores sin operación de maquinarias del transporte - Calificación operativa
34314;Trabajadores sin operación de maquinarias del transporte - No calificados
34319;Trabajadores sin operación de maquinarias del transporte - Calificación ignorada
34321;Conductores y operadores de maquinaria y/o equipos electromecánicos del transporte Calificación profesional
34322;Conductores y operadores de maquinaria y/o equipos electromecánicos del transporte Calificación técnica
34323;Conductores y operadores de maquinaria y/o equipos electromecánicos del transporte Calificación operativa
34324;Conductores y operadores de maquinaria y/o equipos electromecánicos del transporte- No calificados
34329;Conductores y operadores de maquinaria y/o equipos electromecánicos del transporte Calificación ignorada
34331;Operadores de sistemas y/o equipos informatizados o paneles de control del transporte- Calificación profesional
34332;Operadores de sistemas y/o equipos informatizados o paneles de control del transporte- Calificación técnica
34333;Operadores de sistemas y/o equipos informatizados o paneles de control del transporte- Calificación operativa
34334;Operadores de sistemas y/o equipos informatizados o paneles de control del transporte- No calificados
34339;Operadores de sistemas y/o equipos informatizados o paneles de control del transporte- Calificación ignorada
35111;Cuenta propia sin operación de maquinarias de las telecomunicaciones- Calificación profesional
35112;Cuenta propia sin operación de maquinarias de las telecomunicaciones- Calificación técnica
35113;Cuenta propia sin operación de maquinarias de las telecomunicaciones- Calificación operativa
35119;Cuenta propia sin operación de maquinarias de las telecomunicaciones- Calificación ignorada
35121;Cuenta propia con operación de maquinarias y/o equipos electromecanicos de las telecomunicaciones- Calificación profesional
35122;Cuenta propia con operación de maquinarias y/o equipos electromecanicos de las telecomunicaciones- Calificación técnica
35123;Cuenta propia con operación de maquinarias y/o equipos electromecanicos de las telecomunicaciones- Calificación operativa
35129;Cuenta propia con operación de maquinarias y/o equipos electromecanicos de las telecomunicaciones- Calificación ignorada
35131;Cuenta propia con operación de sistemas y/o equipos informatizados de las telecomunicaciones- Calificación profesional
35132;Cuenta propia con operación de sistemas y/o equipos informatizados de las telecomunicaciones- Calificación técnica
35133;Cuenta propia con operación de sistemas y/o equipos informatizados de las telecomunicaciones- Calificación operativa
35139;Cuenta propia con operación de sistemas y/o equipos informatizados de las telecomunicaciones- Calificación ignorada
35201;Jefes de las telecomunicaciones- Calificación profesional
35202;Jefes de las telecomunicaciones- Calificación técnica
35203;Jefes de las telecomunicaciones- Calificación operativa
35209;Jefes de las telecomunicaciones- Calificación ignorada
35311;Trabajadores sin operación de maquinarias de las telecomunicaciones- Calificación profesional
35312;Trabajadores sin operación de maquinarias de las telecomunicaciones Calificación técnica
35313;Trabajadores sin operación de maquinarias de las telecomunicaciones Calificación operativa
35314;Trabajadores sin operación de maquinarias de las telecomunicaciones- No calificados
35319;Trabajadores sin operación de maquinarias de las telecomunicaciones Calificación ignorada
35321;Operadores de maquinaria y/o equipos electromecánicos de las telecomunicaciones- Calificación profesional
35322;Operadores de maquinaria y/o equipos electromecánicos de las telecomunicaciones- Calificación técnica
35323;Operadores de maquinaria y/o equipos electromecánicos de las telecomunicaciones- Calificación operativa
35324;Operadores de maquinaria y/o equipos electromecánicos de las telecomunicaciones- No calificados
35329;Operadores de maquinaria y/o equipos electromecánicos de las telecomunicaciones- Calificación ignorada
35331;Operadores de equipos y/o sistemas informatizados de telecomunicaciones- Calificación profesional
35332;Operadores de equipos y/o sistemas informatizados de telecomunicaciones- Calificación técnica
35333;Operadores de equipos y/o sistemas informatizados de telecomunicaciones- Calificación operativa
35334;Operadores de equipos y/o sistemas informatizados de telecomunicaciones - No calificados
35339;Operadores de equipos y/o sistemas informatizados de telecomunicaciones- Calificación ignorada
36111;Cuenta propia sin operación de maquinarias del almacenaje - Calificación profesional
36112;Cuenta propia sin operación de maquinarias del almacenaje - Calificación técnica
36113;Cuenta propia sin operación de maquinarias del almacenaje - Calificación operativa
36114;Cuenta propia sin operación de maquinarias del almacenaje - No calificados
36119;Cuenta propia sin operación de maquinarias del almacenaje - Calificación ignorada
36121;Cuenta propia con operación de maquinarias y/o equipos electromecánicos del almacenaje- Calificación profesional
36122;Cuenta propia con operación de maquinarias y/o equipos electromecánicos del almacenaje- Calificación técnica
36123;Cuenta propia con operación de maquinarias y/o equipos electromecánicos del almacenaje- Calificación operativa
36124;Cuenta propia con operación de maquinarias y/o equipos electromecánicos del almacenaje- No calificados
36129;Cuenta propia con operación de maquinarias y/o equipos electromecánicos del almacenaje- Calificación ignorada
36131;Cuenta propia con operación de sistemas y/o equipos informatizados del almacenaje - Calificación profesional
36132;Cuenta propia con operación de sistemas y/o equipos informatizados del almacenaje - Calificación técnica
36133;Cuenta propia con operación de sistemas y/o equipos informatizados del almacenaje - Calificación operativa
36134;Cuenta propia con operación de sistemas y/o equipos informatizados del almacenaje - No calificados
36139;Cuenta propia con operación de sistemas y/o equipos informatizados del almacenaje - Calificación ignorada
36201;Jefes del almacenaje - Calificación profesional
36202;Jefes del almacenaje - Calificación técnica
36203;Jefes del almacenaje - Calificación operativa
36209;Jefes del almacenaje - Calificación ignorada
36311;Trabajadores sin operación de maquinarias del almacenaje- Calificación profesional
36312;Trabajadores sin operación de maquinarias del almacenaje- Calificación técnica
36313;Trabajadores sin operación de maquinarias del almacenaje- Calificación operativa
36314;Trabajadores sin operación de maquinarias del almacenaje- No calificados
36319;Trabajadores sin operación de maquinarias del almacenaje- Calificación ignorada
36321;Operadores de maquinaria y/o equipos electromecánicos del almacenaje- Calificación profesional
36322;Operadores de maquinaria y/o equipos electromecánicos del almacenaje- Calificación técnica
36323;Operadores de maquinaria y/o equipos electromecánicos del almacenaje- Calificación operativa
